...1,meanhighscores,percentmill,mytriggs,num_creatures1,num_creatures2,num_creatures3,players,creatureSum,TEC
331,0.1765,0,3,0,2,3,0 2 3,5,15
332,0.2801,0,4,0,2,3,0 2 3,5,20
333,0.0632,0,1,0,2,4,0 2 4,6,6
334,0.1272,0,2,0,2,4,0 2 4,6,12
335,0.2185,0,3,0,2,4,0 2 4,6,18
336,0.3339,0,4,0,2,4,0 2 4,6,24
337,0.0683,0,1,0,2,5,0 2 5,7,7
338,0.1515,0,2,0,2,5,0 2 5,7,14
339,0.2683,0,3,0,2,5,0 2 5,7,21
340,0.4478,0,4,0,2,5,0 2 5,7,28
341,0.0765,0,1,0,2,6,0 2 6,8,8
342,0.1775,0,2,0,2,6,0 2 6,8,16
343,0.338,0,3,0,2,6,0 2 6,8,24
344,0.5129,0,4,0,2,6,0 2 6,8,32
345,0.0906,0,1,0,2,7,0 2 7,9,9
346,0.2038,0,2,0,2,7,0 2 7,9,18
347,0.3935,0,3,0,2,7,0 2 7,9,27
348,0.6346,0,4,0,2,7,0 2 7,9,36
349,0.1039,0,1,0,2,8,0 2 8,10,10
350,0.23,0,2,0,2,8,0 2 8,10,20
351,0.451,0,3,0,2,8,0 2 8,10,30
352,0.7513,0,4,0,2,8,0 2 8,10,40
353,0.10780000000000001,0,1,0,2,9,0 2 9,11,11
354,0.2512,0,2,0,2,9,0 2 9,11,22
355,0.5111,0,3,0,2,9,0 2 9,11,33
356,0.8616,0,4,0,2,9,0 2 9,11,44
357,0.1194,0,1,0,2,10,0 2 10,12,12
358,0.2877,0,2,0,2,10,0 2 10,12,24
359,0.5974,0,3,0,2,10,0 2 10,12,36
360,1.0347,0,4,0,2,10,0 2 10,12,48
361,0.1323,0,1,0,2,11,0 2 11,13,13
362,0.3061,0,2,0,2,11,0 2 11,13,26
363,0.6971,0,3,0,2,11,0 2 11,13,39
364,1.2711000000000101,0,4,0,2,11,0 2 11,13,52
365,0.1456,0,1,0,2,12,0 2 12,14,14
366,0.3548,0,2,0,2,12,0 2 12,14,28
367,0.7298,0,3,0,2,12,0 2 12,14,42
368,1.4084,0,4,0,2,12,0 2 12,14,56
369,0.1579,0,1,0,2,13,0 2 13,15,15
370,0.3572,0,2,0,2,13,0 2 13,15,30
371,0.8672,0,3,0,2,13,0 2 13,15,45
372,1.5643,0,4,0,2,13,0 2 13,15,60
373,0.1636,0,1,0,2,14,0 2 14,16,16
374,0.4012,0,2,0,2,14,0 2 14,16,32
375,0.9195,0,3,0,2,14,0 2 14,16,48
376,1.8296,0,4,0,2,14,0 2 14,16,64
377,0.175,0,1,0,2,15,0 2 15,17,17
378,0.4264,0,2,0,2,15,0 2 15,17,34
379,1.0442,0,3,0,2,15,0 2 15,17,51
380,2.114,0,4,0,2,15,0 2 15,17,68
381,0.1828,0,1,0,2,16,0 2 16,18,18
382,0.4732,0,2,0,2,16,0 2 16,18,36
383,1.1744,0,3,0,2,16,0 2 16,18,54
384,2.5712,0,4,0,2,16,0 2 16,18,72
385,0.1925,0,1,0,2,17,0 2 17,19,19
386,0.5127,0,2,0,2,17,0 2 17,19,38
387,1.2616,0,3,0,2,17,0 2 17,19,57
388,2.9456,0,4,0,2,17,0 2 17,19,76
389,0.2012,0,1,0,2,18,0 2 18,20,20
390,0.541,0,2,0,2,18,0 2 18,20,40
391,1.4689,0,3,0,2,18,0 2 18,20,60
392,3.331,0,4,0,2,18,0 2 18,20,80
393,0.2125,0,1,0,2,19,0 2 19,21,21
394,0.5923,0,2,0,2,19,0 2 19,21,42
395,1.6553,0,3,0,2,19,0 2 19,21,63
396,3.9353,0,4,0,2,19,0 2 19,21,84
397,0.2199,0,1,0,2,20,0 2 20,22,22
398,0.6049,0,2,0,2,20,0 2 20,22,44
399,1.6804,0,3,0,2,20,0 2 20,22,66
400,4.6579,0,4,0,2,20,0 2 20,22,88
401,0.2314,0,1,0,2,21,0 2 21,23,23
402,0.664,0,2,0,2,21,0 2 21,23,46
403,1.8875,0,3,0,2,21,0 2 21,23,69
404,5.6802,0,4,0,2,21,0 2 21,23,92
405,0.2481,0,1,0,2,22,0 2 22,24,24
406,0.7063,0,2,0,2,22,0 2 22,24,48
407,2.1743,0,3,0,2,22,0 2 22,24,72
408,6.7575,0,4,0,2,22,0 2 22,24,96
409,0.258,0,1,0,2,23,0 2 23,25,25
410,0.7667,0,2,0,2,23,0 2 23,25,50
411,2.5247,0,3,0,2,23,0 2 23,25,75
412,8.1927,1.57,4,0,2,23,0 2 23,25,100
413,0.2569,0,1,0,2,24,0 2 24,26,26
414,0.8322,0,2,0,2,24,0 2 24,26,52
415,2.7695,0,3,0,2,24,0 2 24,26,78
416,10.2703,4.26,4,0,2,24,0 2 24,26,104
417,0.2703,0,1,0,2,25,0 2 25,27,27
418,0.8824,0,2,0,2,25,0 2 25,27,54
419,3.0978,0,3,0,2,25,0 2 25,27,81
420,12.2691,7.06,4,0,2,25,0 2 25,27,108
421,0.2847,0,1,0,2,26,0 2 26,28,28
422,0.9294,0,2,0,2,26,0 2 26,28,56
423,3.7216,0,3,0,2,26,0 2 26,28,84
424,14.8843,10.09,4,0,2,26,0 2 26,28,112
425,0.2908,0,1,0,2,27,0 2 27,29,29
426,0.9813,0,2,0,2,27,0 2 27,29,58
427,4.1961,0,3,0,2,27,0 2 27,29,87
428,17.5134,13,4,0,2,27,0 2 27,29,116
429,0.2996,0,1,0,2,28,0 2 28,30,30
430,1.082,0,2,0,2,28,0 2 28,30,60
431,4.8015,0,3,0,2,28,0 2 28,30,90
432,19.5528,14.87,4,0,2,28,0 2 28,30,120
433,0.3074,0,1,0,2,29,0 2 29,31,31
434,1.1403,0,2,0,2,29,0 2 29,31,62
435,5.4808,0,3,0,2,29,0 2 29,31,93
436,22.7909,17.82,4,0,2,29,0 2 29,31,124
437,0.3258,0,1,0,2,30,0 2 30,32,32
438,1.1575,0,2,0,2,30,0 2 30,32,64
439,6.1717,0,3,0,2,30,0 2 30,32,96
440,25.2395,20.06,4,0,2,30,0 2 30,32,128
441,0.3311,0,1,0,2,31,0 2 31,33,33
442,1.2441,0,2,0,2,31,0 2 31,33,66
443,7.2325,0.9,3,0,2,31,0 2 31,33,99
444,29.0966,23.5,4,0,2,31,0 2 31,33,132
445,0.3471,0,1,0,2,32,0 2 32,34,34
446,1.3739,0,2,0,2,32,0 2 32,34,68
447,9.2371,2.85,3,0,2,32,0 2 32,34,102
448,32.5422,26.24,4,0,2,32,0 2 32,34,136
449,0.3673,0,1,0,2,33,0 2 33,35,35
450,1.4197,0,2,0,2,33,0 2 33,35,70
451,10.7865,5.6,3,0,2,33,0 2 33,35,105
452,34.1771,27.5,4,0,2,33,0 2 33,35,140
453,0.3669,0,1,0,2,34,0 2 34,36,36
454,1.6105,0,2,0,2,34,0 2 34,36,72
455,12.9625,7.98,3,0,2,34,0 2 34,36,108
456,38.0484,30.48,4,0,2,34,0 2 34,36,144
457,0.3826,0,1,0,2,35,0 2 35,37,37
458,1.6546,0,2,0,2,35,0 2 35,37,74
459,15.3296,10.86,3,0,2,35,0 2 35,37,111
460,41.7881,33.1,4,0,2,35,0 2 35,37,148
461,0.388,0,1,0,2,36,0 2 36,38,38
462,1.8067,0,2,0,2,36,0 2 36,38,76
463,16.9598,12.59,3,0,2,36,0 2 36,38,114
464,45.9741,36.23,4,0,2,36,0 2 36,38,152
465,0.4053,0,1,0,2,37,0 2 37,39,39
466,1.9971,0,2,0,2,37,0 2 37,39,78
467,20.0333,15.65,3,0,2,37,0 2 37,39,117
468,47.9695,37.46,4,0,2,37,0 2 37,39,156
469,0.4108,0,1,0,2,38,0 2 38,40,40
470,2.0942,0,2,0,2,38,0 2 38,40,80
471,22.155,17.72,3,0,2,38,0 2 38,40,120
472,52.5697,40.52,4,0,2,38,0 2 38,40,160
473,0.4169,0,1,0,2,39,0 2 39,41,41
474,2.3714,0,2,0,2,39,0 2 39,41,82
475,24.6564,20,3,0,2,39,0 2 39,41,123
476,54.2643,41.57,4,0,2,39,0 2 39,41,164
477,0.4288,0,1,0,2,40,0 2 40,42,42
478,2.5386,0,2,0,2,40,0 2 40,42,84
479,27.8767,23.02,3,0,2,40,0 2 40,42,126
480,57.5679,43.62,4,0,2,40,0 2 40,42,168
481,0.0632,0,1,0,3,3,0 3 3,6,6
482,0.1295,0,2,0,3,3,0 3 3,6,12
483,0.2246,0,3,0,3,3,0 3 3,6,18
484,0.3556,0,4,0,3,3,0 3 3,6,24
485,0.0709,0,1,0,3,4,0 3 4,7,7
486,0.15,0,2,0,3,4,0 3 4,7,14
487,0.2958,0,3,0,3,4,0 3 4,7,21
488,0.44,0,4,0,3,4,0 3 4,7,28
489,0.0796,0,1,0,3,5,0 3 5,8,8
490,0.1779,0,2,0,3,5,0 3 5,8,16
491,0.3372,0,3,0,3,5,0 3 5,8,24
492,0.5173,0,4,0,3,5,0 3 5,8,32
493,0.0984,0,1,0,3,6,0 3 6,9,9
494,0.2064,0,2,0,3,6,0 3 6,9,18
495,0.3668,0,3,0,3,6,0 3 6,9,27
496,0.6239,0,4,0,3,6,0 3 6,9,36
497,0.1016,0,1,0,3,7,0 3 7,10,10
498,0.2223,0,2,0,3,7,0 3 7,10,20
499,0.4434,0,3,0,3,7,0 3 7,10,30
500,0.7345,0,4,0,3,7,0 3 7,10,40
501,0.1123,0,1,0,3,8,0 3 8,11,11
502,0.2642,0,2,0,3,8,0 3 8,11,22
503,0.5042,0,3,0,3,8,0 3 8,11,33
504,0.8096,0,4,0,3,8,0 3 8,11,44
